"Rank","Name","Domestic_Box_Office","Movies","Average"
500,"Peter Faiman",179074528,2,89537264
501,"William Wyler",178807416,13,13754417
502,"Scott Hicks",178750512,9,19861168
503,"Marcus Nispel",177100776,6,29516796
504,"Olivier Megaton",176520141,4,44130035
505,"Michael Gracey",176323822,3,58774607
506,"Travis Knight",175218677,5,35043735
507,"Kent Seki",175003033,1,175003033
508,"Parker Finn",174947634,2,87473817
509,"Cary Joji Fukunaga",174761109,5,34952222
510,"Phyllida Lloyd",174505524,3,58168508
511,"Espen Sandberg",174076286,4,43519072
512,"Sam Taylor-Johnson",173790761,5,34758152
513,"Steve Barron",173736935,7,24819562
514,"Marc Lawrence",173507594,5,34701519
515,"Colin Higgins",172992137,2,86496069
516,"Roman Polanski",172537280,21,8216061
517,"Nick Park",172132008,9,19125779
518,"Kevin Rodney Sullivan",171659244,4,42914811
519,"Sam Fell",171545868,4,42886467
520,"James McTeigue",171482780,5,34296556
521,"Peter Hewitt",171351512,8,21418939
522,"Chirs Buck",171091819,1,171091819
523,"Chloé Zhao",171023736,5,34204747
524,"Rod Daniel",169961188,5,33992238
525,"Paul Thomas Anderson",169891993,10,16989199
526,"Mike Gabriel",169511234,2,84755617
527,"Jordan Vogt-Roberts",169368312,3,56456104
528,"David Twohy",169109764,8,21138721
529,"Richard Fleischer",168749903,18,9374995
530,"Jay Russell",168258163,6,28043027
531,"Gregory Hoblit",168153921,5,33630784
532,"Philip Kaufman",167833444,11,15257586
533,"Robert Stevenson",167654138,7,23950591
534,"Mikael Hafstrom",166971453,9,18552384
535,"Mark Robson",166843366,9,18538152
536,"Dwight H. Little",166755302,12,13896275
537,"Jay Chandrasekhar",166586297,7,23798042
538,"Robert Eggers",165847154,6,27641192
539,"Stephen Chbosky",165168403,5,33033681
540,"Lee Daniels",164875819,6,27479303
541,"Glenn Ficarra",163334953,6,27222492
542,"John Requa",163334953,6,27222492
543,"Paul Tibbitt",162994032,1,162994032
544,"Michel Gondry",162316276,15,10821085
545,"Peter Bogdanovich",161769547,15,10784636
546,"Toni Myers",161721860,3,53907287
547,"Bibo Bergeron",161412000,2,80706000
548,"Michael Thurmeier",161321843,1,161321843
549,"Roger Kumble",161319821,9,17924425
550,"James Wong",160668896,4,40167224
551,"Alex Garland",160301138,5,32060228
552,"Jeff Wadlow",159556539,10,15955654
553,"Stuart Baird",157767204,3,52589068
554,"Ava Duvernay",157599216,7,22514174
555,"Jesse Dylan",157196929,3,52398976
556,"Fred Schepisi",157145710,13,12088132
557,"David Soren",156949130,3,52316377
558,"Michael B. Jordan",156248615,3,52082872
559,"John Boorman",156055154,14,11146797
560,"Stan Dragoti",155666897,5,31133379
561,"Barbra Streisand",155067309,3,51689103
562,"Franco Zeffirelli",154878920,15,10325261
563,"David Cronenberg",154349898,21,7349995
564,"Rob Bowman",154229828,4,38557457
565,"Scott Cooper",153817053,8,19227132
566,"Michael Dougherty",153225613,3,51075204
567,"Brian Fee",152901115,1,152901115
568,"Patrick Hughes",152826941,5,30565388
569,"Jason Moore",152045738,4,38011435
570,"Andrew Erwin",151603546,9,16844838
571,"James Fargo",151468727,3,50489576
572,"Ronny Yu",151313397,6,25218900
573,"Jeannot Szwarc",150645702,7,21520815
574,"Alexandre Aja",150639302,11,13694482
575,"Ted Demme",150569759,7,21509966
576,"Cecil B. DeMille",150200591,11,13654599
577,"Adam Robitel",150060839,4,37515210
578,"Neil LaBute",150027001,13,11540539
579,"Jeremiah Chechik",149873028,6,24978838
580,"Leigh Whannell",149817018,5,29963404
581,"Josh Boone",148806869,4,37201717
582,"Rob Zombie",148318805,11,13483528
583,"Spike Jonze",148159164,5,29631833
584,"Steve Pink",147802277,8,18475285
585,"Gina Prince-Bythewood",147168465,5,29433693
586,"Ralph Zondag",147063639,4,36765910
587,"Kunihiko Yuyama",146543713,17,8620218
588,"Michael Lehmann",146338730,9,16259859
589,"Jill Culton",145866649,2,72933325
590,"Nia DaCosta",145836803,6,24306134
591,"Stephen Gaghan",145818090,5,29163618
592,"Christopher Landon",145629053,8,18203632
593,"James B. Rogers",145096820,1,145096820
594,"Alessandro Carloni",143528619,1,143528619
595,"John Whitesell",143176473,7,20453782
596,"Jim Sheridan",142816272,9,15868475
597,"Jack Lee Thompson",142240067,14,10160005
598,"Michael Sarnoski",142238551,4,35559638
599,"Ted Kotcheff",142127096,10,14212710
600,"Eric Goldberg",141579773,1,141579773
601,"Martin Ritt",140619130,12,11718261
602,"Eduardo Sanchez",140583046,7,20083292
603,"Daniel Myrick",140539099,4,35134775
604,"Andrew Bergman",140346898,6,23391150
605,"Norton Virgien",139897257,2,69948629
606,"Kelly Marcel",139755882,2,69877941
607,"Tommy Chong",139663872,6,23277312
608,"Iain Softley",139603219,9,15511469
609,"Peter Lord",137845041,2,68922521
610,"Eric Leighton",137748063,1,137748063
611,"Emma Tammi",137304231,4,34326058
612,"Sidney Poitier",136781950,5,27356390
613,"Stephen Norrington",136607080,4,34151770
614,"David Green",136286894,5,27257379
615,"Forest Whitaker",136113271,3,45371090
616,"Barbet Schroeder",135877640,12,11323137
617,"Breck Eisner",135163174,3,45054391
618,"Martha Coolidge",134934517,13,10379578
619,"William Brent Bell",134706604,8,16838326
620,"Tobe Hooper",134656451,9,14961828
621,"Gene Stupnitsky",133592588,2,66796294
622,"Miguel Arteta",132411380,8,16551423
623,"Nick Castle",131980808,6,21996801
624,"David S. Ward",131823724,5,26364745
625,"Michael Sucsy",131126944,3,43708981
626,"Russell Mulcahy",131071018,14,9362216
627,"Scott Waugh",130291507,8,16286438
628,"Stephen Daldry",129945419,8,16243177
629,"Oz Perkins",129439141,7,18491306
630,"Aaron Seltzer",128825448,8,16103181
631,"Steve Rash",128719644,7,18388521
632,"Benjamin Renner",127990296,3,42663432
633,"Richard LaGravenese",127698636,8,15962330
634,"David McNally",127509485,2,63754743
635,"Brett Leonard",127274829,9,14141648
636,"Kevin Greutert",127011368,7,18144481
637,"Ronald Neame",126700000,9,14077778
638,"Zhang Yimou",126328036,23,5492523
639,"Lewis Teague",126272538,6,21045423
640,"Dallas Jenkins",125469261,11,11406296
641,"Carl Franklin",125096163,7,17870880
642,"Stephen Anderson",124515017,2,62257509
643,"Bill Duke",124124711,8,15515589
