"Rank","Name","Worldwide_Box_Office","Movies","Average"
377,"Jason Sudeikis",1536820345,21,73181921
378,"Ariana Greenblatt",1533448746,4,383362187
379,"Naomie Harris",1531983248,12,127665271
380,"Paul Newman",1531031288,32,47844728
381,"Isla Fisher",1529651272,19,80507962
382,"Scott Eastwood",1529017359,13,117616720
383,"Robbie Coltrane",1528726688,5,305745338
384,"Edward Norton",1525487162,18,84749287
385,"Eiza González",1521460368,13,117035413
386,"Issa Rae",1518615374,6,253102562
387,"Domhnall Gleeson",1509173454,7,215596208
388,"Keri Russell",1505647693,9,167294188
389,"Michelle Monaghan",1505500926,21,71690520
390,"Anna Faris",1503494994,16,93968437
391,"Heath Ledger",1499963129,8,187495391
392,"Seth MacFarlane",1491073509,5,298214702
393,"Ben Schwartz",1482963203,10,148296320
394,"Zoë Kravitz",1476558631,13,113581433
395,"Felicity Jones",1464360247,15,97624016
396,"Joonas Suotamo",1463103161,2,731551581
397,"Jeremy Irons",1458937928,18,81052107
398,"Danny Glover",1457633745,23,63375380
399,"Scott Evans",1455869423,2,727934712
400,"Peter Dinklage",1454404564,17,85553210
401,"Monica Barbaro",1454004238,3,484668079
402,"Greg Tarzan Davis",1454001110,1,1454001110
403,"Ashton Kutcher",1453483072,15,96898871
404,"Jesse McCartney",1452123874,7,207446268
405,"Judi Dench",1449060966,20,72453048
406,"Hari Nef",1447122182,3,482374061
407,"Ritu Arya",1446943977,2,723471989
408,"Gugu Mbatha-Raw",1446277696,11,131479791
409,"Connor Swindells",1445879349,3,481959783
410,"Sharon Rooney",1444269423,1,1444269423
411,"Ncuti Gatwa",1444269423,1,1444269423
412,"Ana Kayne",1444269423,1,1444269423
413,"Emerald Fennell",1444269423,1,1444269423
414,"Nicola Coughlan",1444269423,1,1444269423
415,"Jamie Demetriou",1444269423,1,1444269423
416,"Brian Tyree Henry",1438295381,8,179786923
417,"Kevin Spacey",1434515709,23,62370248
418,"Wesley Snipes",1433880051,32,44808752
419,"Bette Midler",1432533198,28,51161900
420,"John Malkovich",1430978503,36,39749403
421,"Dominic Cooper",1428296638,8,178537080
422,"Ma Li",1427136541,7,203876649
423,"Josh Hutcherson",1425407523,15,95027168
424,"Diego Luna",1424390031,8,178048754
425,"James Corden",1421988166,10,142198817
426,"Chao Deng",1417902757,10,141790276
427,"Jared Leto",1417632136,11,128875649
428,"Jia Ling",1416286015,3,472095338
429,"Jamie Lee Curtis",1411101961,20,70555098
430,"Hannibal Buress",1409508407,5,281901681
431,"Ray Winstone",1408427303,9,156491923
432,"Marisa Tomei",1406029532,17,82707620
433,"Matthew Gray Gubler",1404715280,7,200673611
434,"Lake Bell",1404435249,11,127675932
435,"Maya Rudolph",1404202842,18,78011269
436,"Giancarlo Esposito",1402850183,9,155872243
437,"Mickey Rourke",1396331405,33,42313073
438,"Naomi Scott",1395917071,6,232652845
439,"Nick Nolte",1395178810,28,49827815
440,"Rebel Wilson",1392442622,14,99460187
441,"Lei Jiayin",1388692844,7,198384692
442,"Michael Shannon",1388524588,29,47880158
443,"John Cho",1377459730,11,125223612
444,"Wanda Sykes",1374499772,7,196357110
445,"Jenny Slate",1357156228,12,113096352
446,"Ice Cube",1352001500,26,52000058
447,"Cillian Murphy",1349583237,17,79387249
448,"Andy Richter",1346602045,2,673301023
449,"Liu Haoran",1344137849,6,224022975
450,"Eric Stonestreet",1343864426,3,447954809
451,"Ana de Armas",1340919023,15,89394602
452,"Gwendoline Christie",1335816145,5,267163229
453,"Jonathan Groff",1335766895,8,166970862
454,"Mila Kunis",1335736387,16,83483524
455,"Patrick Gallagher",1335434091,3,445144697
456,"Mizuo Peck",1335434091,3,445144697
457,"Diane Keaton",1334139660,41,32539992
458,"Zhang Hanyu",1319887238,8,164985905
459,"Joel Kinnaman",1318372775,15,87891518
460,"Frances McDormand",1316523750,11,119683977
461,"Keke Palmer",1316366963,13,101258997
462,"Richard Dreyfuss",1308010452,17,76941791
463,"Louis Koo",1281960881,22,58270949
464,"Dan Aykroyd",1280993356,18,71166298
465,"Jordan Peele",1275218787,5,255043757
466,"Nathan Lane",1274460678,7,182065811
467,"Michelle Yeoh",1273739599,13,97979969
468,"Ginnifer Goodwin",1271622776,3,423874259
469,"Santino Fontana",1270089468,2,635044734
470,"Yahya Abdul-Mateen II",1261417460,4,315354365
471,"Audra McDonald",1259762094,2,629881047
472,"Justin Timberlake",1259690111,12,104974176
473,"Eric Bana",1249682340,19,65772755
474,"Huck Milner",1242805359,1,1242805359
475,"Jackson Yee",1238063015,4,309515754
476,"Alexander Skarsgård",1235462563,14,88247326
477,"Paula Patton",1231990639,7,175998663
478,"Alan Ritchson",1227923372,11,111629397
479,"Val Kilmer",1224015523,21,58286453
480,"Zachary Quinto",1223698909,11,111245355
481,"Sarah Jessica Parker",1221889450,12,101824121
482,"Ving Rhames",1220414095,12,101701175
483,"Elliot Page",1220273259,18,67792959
484,"Craig Ferguson",1220047698,6,203341283
485,"Charlotte Rampling",1219568315,14,87112023
486,"Noomi Rapace",1219050233,24,50793760
487,"Teri Polo",1218009836,11,110728167
488,"Amber Heard",1216564987,13,93581922
489,"Byung-hun Lee",1216034748,10,121603475
490,"Richard Harris",1215918898,11,110538082
491,"Barbra Streisand",1206739173,12,100561598
492,"Zachary Levi",1204956497,17,70879794
493,"Roger Moore",1193521732,28,42625776
494,"Lily James",1190306346,12,99192196
495,"Blake Lively",1188641308,18,66035628
496,"Winona Ryder",1187102277,21,56528680
497,"Katherine Heigl",1185435730,18,65857541
498,"Jack Reynor",1183896299,10,118389630
499,"Christina Hendricks",1183855526,8,147981941
500,"Christopher Mintz-Plasse",1183116518,8,147889565
501,"Dana Carvey",1182637355,7,168948194
502,"Karen Allen",1181208873,8,147651109
503,"James Caviezel",1176295135,13,90484241
504,"Ellie Kemper",1175645023,2,587822512
505,"Anthony Ramos",1174532919,11,106775720
506,"Emilia Clarke",1172850936,14,83775067
507,"Shailene Woodley",1172169326,18,65120518
508,"Conrad Vernon",1167211851,3,389070617
509,"Blythe Danner",1166468807,8,145808601
510,"Sofia Boutella",1165440161,8,145680020
511,"Kumail Nanjiani",1162811760,10,116281176
512,"Haley Joel Osment",1162082524,12,96840210
513,"Rose Byrne",1161536365,20,58076818
514,"Chris Sanders",1160568422,3,386856141
515,"William Moseley",1148881080,9,127653453
516,"Jennifer Garner",1147492607,17,67499565
517,"Lee Pace",1147360607,7,163908658
518,"Armie Hammer",1146975483,18,63720860
519,"Tyler Perry",1141352928,21,54350139
520,"Anna Popplewell",1137880860,3,379293620
521,"Trey Parker",1135796071,3,378598690
522,"Clark Gregg",1129823217,4,282455804
523,"Lashana Lynch",1129576094,1,1129576094
524,"Tiffany Haddish",1126501005,17,66264765
525,"Baihe Bai",1125020904,8,140627613
526,"Octavia Spencer",1120811655,16,70050728
527,"Sarah Silverman",1117640188,8,139705024
528,"Freida Pinto",1109640569,12,92470047
529,"Aaron Eckhart",1105273295,29,38112872
530,"Christine Baranski",1104274858,5,220854972
531,"Nicola Peltz",1104054072,4,276013518
532,"Josh Hartnett",1099770767,22,49989580
533,"Elle Fanning",1099484134,26,42287851
534,"Austin Butler",1098666446,11,99878768
535,"George Lopez",1097961915,14,78425851
536,"Gael Garcia Bernal",1093487964,20,54674398
537,"Annie Potts",1086677215,3,362225738
538,"Chow Yun-Fat",1085386297,13,83491254
539,"Adewale Akinnuoye-Agbaje",1082272115,5,216454423
540,"Benjamin Bratt",1081386884,5,216277377
541,"Kirsten Dunst",1080866189,26,41571777
542,"Alyson Hannigan",1075522729,7,153646104
543,"Shameik Moore",1074018970,6,179003162
544,"Patton Oswalt",1073336297,9,119259589
545,"Kaya Scodelario",1073130405,9,119236712
546,"Jimmy Vee",1069951814,2,534975907
547,"Vera Farmiga",1067939407,17,62819965
548,"Ken Jeong",1066907911,11,96991628
549,"Alicia Vikander",1066446208,17,62732130
550,"Patrick Swayze",1064691787,21,50699609
551,"Jay Hernandez",1062101279,8,132762660
552,"Callum Turner",1061777885,9,117975321
553,"Regina Hall",1061246712,21,50535558
554,"Goldie Hawn",1060735012,21,50511191
555,"Ethan Hawke",1058315253,46,23006853
556,"Sienna Miller",1058237793,16,66139862
557,"Clive Owen",1058112443,26,40696632
558,"Xu Zheng",1055551656,7,150793094
559,"William Shatner",1054763093,14,75340221
560,"Sharon Stone",1050114430,25,42004577
561,"Lucy Alexis Liu",1048466855,13,80651297
562,"Jake Lloyd",1046513456,1,1046513456
563,"Cara Delevingne",1046306691,5,209261338
564,"Mena Massoud",1043406064,9,115934007
565,"Marwan Kenzari",1043232964,5,208646593
566,"Peter Cullen",1042135089,2,521067545
567,"Navid Negahban",1042126107,1,1042126107
568,"Steve Coogan",1041168185,22,47325827
569,"Marion Cotillard",1035839576,20,51791979
570,"Daniel Stern",1035741414,8,129467677
571,"Tori Kelly",1035598770,2,517799385
572,"Will Poulter",1034898458,4,258724615
573,"Dan Whitney",1030521849,4,257630462
