"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"590","Strangers: Chapter 1, The","2024-05-16","Lionsgate","3pZUQmZdOi4",37,2024
"591","Arcadian","2024-05-16","IFC Films","HNARuSROxbM",38,2024
"592","Garfield Movie, The","2024-05-23","Sony","IeFWNtMo1Fs",40,2024
"593","Furiosa: A Mad Max Saga","2024-05-23","Warner Bros.","XJMuhwVlca4",41,2024
"594","Haunting of the Queen Mary","2024-05-23","Vertical Entertainment","JJg9K716auA",42,2024
"595","Hit Man","2024-05-30","Netflix","0g4cJ4NE8HA",45,2024
"596","Origin","2024-05-30","Neon Rated","ytUyrTQJp8M",46,2024
"597","Bad Boys: Ride or Die","2024-06-06","Sony","hRFY_Fesa9Q",48,2024
"598","Watchers, The","2024-06-06","Warner Bros.","dYo91Fq9tKY",49,2024
"599","Exorcism, The","2024-06-13","Emick","wCe2QqMNexM",50,2024
"600","Dream Scenario","2024-06-13","A24","q3x9iUL-74w",1,2024
"601","Bikeriders, The","2024-06-20","Focus Features","BrSaVt5pvPk",5,2024
"602","GHOST: RITE HERE RITE NOW","2024-06-20","Trafalgar Releasing","GJVgZX-vQUc",6,2024
"603","Despicable Me 4","2024-06-27","Universal","qQlr9-rF32A",7,2024
"604","Quiet Place: Day One, A","2024-06-27","Paramount","YPY7J-flzE8",8,2024
"605","Sweet East, The","2024-06-27","Utopia Media","hJgNw9deqtc",9,2024
"606","Horizon: An American Saga Chapter 1","2024-07-04","Warner Bros.","YYsReoZMj1k",11,2024
"607","Inside Out 2","2024-07-11","Disney","LEjhY15eCx0",14,2024
"608","Fly Me to the Moon","2024-07-11","Sony","lW7enw6mFxs",15,2024
"609","Freud's Last Session","2024-07-11","Sony Pictures Classics","hPJM9lEMyV4",16,2024
"610","Twisters","2024-07-18","Universal","wdok0rZdmx4",20,2024
"611","Chief of Station","2024-07-18","Vertical Entertainment","Krsu0mazuZ4",21,2024
"612","Memory","2024-07-18","Emick","A3sOCO8mhS8",22,2024
"613","Deadpool & Wolverine","2024-07-25","Disney","9wV42pvAbAk",26,2024
"614","Longlegs","2024-07-25","Neon Rated","OG7wOTE8NhE",27,2024
"615","Trap","2024-08-01","Warner Bros.","hJiPAJKjUVg",29,2024
"616","Knox Goes Away","2024-08-01","Eammon Films","bZ8SeYVnc9A",30,2024
"617","It Ends with Us","2024-08-08","Sony","DLET_u31M4M",31,2024
"618","Borderlands","2024-08-08","Lionsgate","lU_NKNZljoQ",32,2024
"619","Alien: Romulus","2024-08-15","20th Century Studios","OzY2r2JXsDM",35,2024
"620","Harold and the Purple Crayon","2024-08-15","Sony","WojIv-PVYm8",36,2024
"621","Blink Twice","2024-08-22","Amazon MGM Studios","aMcmfonGWY4",41,2024
"622","Crow, The","2024-08-22","Lionsgate","djSKp_pwmOA",42,2024
"623","In the Land of Saints and Sinners","2024-08-22","Variance Films","lWwhYRxhngc",43,2024
"624","Hellboy: The Crooked Man","2024-08-29","","6UEO6QTbvKc",45,2024
"625","Longing","2024-08-29","Independent","cx0wrMWZd4g",46,2024
"626","Deliver Us","2024-08-29","Magnolia Pictures","hlEo8c68cQ0",47,2024
"627","Don't Turn Out the Lights","2024-08-29","","6RMxIBMppwY",48,2024
"628","Play Dead","2024-08-29","Vertical Entertainment","72KaDGRKwYY",49,2024
"629","Beetlejuice Beetlejuice","2024-09-05","Warner Bros.","CoZqL9N6Rx4",50,2024
"630","Land of Bad","2024-09-05","Variance Films","yTFazxfrXVw",1,2024
"631","Daddio","2024-09-05","Sony Pictures Classics","PJrr2amlFyc",2,2024
"632","Speak No Evil","2024-09-12","Universal","FjzxI6uf8H8",7,2024
"633","Fast Charlie","2024-09-12","Vertical Entertainment","_lAdLC8JPXk",8,2024
"634","Reality","2024-09-12","","plIUJ-LF7JU",9,2024
"635","Transformers One","2024-09-19","Paramount","u2NuUWuwPCM",14,2024
"636","Never Let Go","2024-09-19","Lionsgate","ZDfRp_ukHDU",15,2024
"637","Lee","2024-09-26","Roadside Attractions","DmFYkiUAAA8",18,2024
"638","Rob Peace","2024-09-26","Emick","bugi-UdtjzI",19,2024
"639","Joker: Folie à Deux","2024-10-03","Warner Bros.","_OKAwz2MsJs",20,2024
